,City,Country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind Speed
105,Guerrero Negro,MX,27.97,-114.04,1548535870,77.16,27,0,17.6
106,Kavaratti,IN,10.57,72.64,1548535870,80.76,100,0,7.99
107,Peniche,PT,39.36,-9.38,1548532800,53.6,87,40,6.93
108,Vardo,US,39.62,-77.74,1548534000,36.36,31,1,4.7
109,Norman Wells,CA,65.28,-126.83,1548532800,-2.21,77,20,2.24
110,Lakatoro,VU,-16.11,167.42,1548535871,81.62,90,88,10.56
111,Hobart,AU,-42.88,147.33,1548532800,62.6,55,75,5.82
112,Port Elizabeth,US,39.31,-74.98,1548532560,35.71,43,90,4.7
113,Adelaide,AU,-34.93,138.6,1548532800,60.8,77,20,6.93
114,Nowy Dwor Mazowiecki,PL,52.43,20.72,1548534600,23.85,85,75,4.7
115,Hofn,IS,64.25,-15.21,1548535872,29.96,100,0,16.26
116,Svetlogorsk,RU,53.14,59.15,1548534600,-0.41,64,0,4.47
117,Martin,US,36.34,-88.85,1548534900,46.08,61,1,11.41
118,Victoria Point,AU,-27.58,153.3,1548534600,74.01,73,40,5.82
119,Daru,SL,7.99,-10.85,1548535873,82.52,50,56,3.18
120,Mumford,GH,5.26,-0.76,1548535873,81.44,83,0,10.22
121,Hay River,CA,60.82,-115.79,1548532800,5.0,84,75,3.36
122,Alice Springs,AU,-23.7,133.88,1548534600,82.4,34,40,12.75
123,Villa Maria,CO,4.5,-74.09,1548532800,71.6,33,20,13.87
124,Klaksvik,FO,62.23,-6.59,1548534000,35.6,69,80,46.08
125,Horta,ES,41.43,2.16,1548532800,51.82,76,0,3.36
126,Butaritari,KI,3.07,172.79,1548535874,82.38,100,64,13.02
127,Hwange,ZW,-18.35,26.5,1548535874,77.61,58,12,7.54
128,Yulara,AU,-25.24,130.99,1548532800,73.4,60,75,12.75
129,Bogorodskoye,RU,52.37,140.44,1548535874,-4.92,54,0,4.97
130,Santa Lucia,IT,39.93,9.66,1548532500,50.0,37,5,11.41
131,Cape Town,ZA,-33.93,18.42,1548532800,69.8,77,0,12.75
132,Dikson,RU,73.51,80.55,1548535724,-9.6,100,36,20.18
133,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1548534600,-4.01,83,0,8.95
134,Manokwari,ID,-0.87,134.08,1548535875,79.46,100,64,7.43
135,Esperance,TT,10.24,-61.45,1548532800,82.4,65,75,11.41
136,College,US,64.86,-147.8,1548532680,18.28,97,75,4.7
137,Lorengau,PG,-2.02,147.27,1548535876,82.97,99,68,12.8
138,Baie-Saint-Paul,CA,47.44,-70.51,1548535692,5.16,48,36,6.98
139,Ponta do Sol,BR,-20.63,-46.0,1548535876,70.86,89,36,3.4
140,Anadyr,RU,64.73,177.51,1548534600,-0.41,77,75,4.41
141,Kruisfontein,ZA,-34.0,24.73,1548535876,66.63,83,0,15.14
142,Fort Wellington,GY,6.4,-57.6,1548535876,78.11,98,64,11.56
143,Saint-Philippe,CA,45.36,-73.48,1548534900,11.62,76,75,4.7
144,Lakes Entrance,AU,-37.88,147.99,1548535877,66.54,100,100,6.42
145,Mahebourg,MU,-20.41,57.7,1548532800,80.6,83,20,3.36
146,Bodmin,GB,50.47,-4.72,1548532200,48.2,81,92,28.86
147,Ganzhou,CN,25.86,114.93,1548535877,35.36,92,0,2.51
148,Umm Lajj,SA,25.02,37.27,1548535878,71.72,90,36,12.24
149,Kampong Chhnang,KH,12.25,104.67,1548535878,67.26,78,0,4.41
150,Coihaique,CL,-45.58,-72.07,1548532800,61.59,42,20,12.75
151,Bambanglipuro,ID,-7.95,110.28,1548535878,69.96,100,20,3.06
152,Natividad,PH,16.04,120.79,1548535878,64.79,88,92,3.96
153,Krk,HR,45.03,14.57,1548532800,35.6,51,0,4.7
154,Arraial do Cabo,BR,-22.97,-42.02,1548532800,81.52,78,40,16.11
155,Itarema,BR,-2.92,-39.92,1548535879,80.36,82,92,7.09
156,Ust-Maya,RU,60.42,134.54,1548535879,-25.94,39,44,3.06
157,Taltal,CL,-25.41,-70.49,1548535930,71.81,71,0,3.96
158,Novopokrovka,RU,45.85,134.51,1548535930,-11.13,55,0,2.51
159,Igarka,RU,67.47,86.57,1548535930,-18.06,79,76,8.43
160,Praia da Vitoria,PT,38.73,-27.07,1548532800,57.2,82,20,15.59
161,Bezhanitsy,RU,56.97,29.88,1548535931,9.44,83,76,3.06
162,Ola,RU,59.58,151.3,1548535931,-4.38,100,68,12.12
163,Havre-Saint-Pierre,CA,50.23,-63.6,1548535620,8.6,71,90,23.04
164,Bambous Virieux,MU,-20.34,57.76,1548532800,80.6,83,20,3.36
165,Namibe,AO,-15.19,12.15,1548535932,75.23,100,0,7.54
166,Atambua,ID,-9.11,124.89,1548535932,76.49,100,88,5.75
167,Arcata,US,40.87,-124.08,1548534900,63.99,100,1,3.36
168,Chanderi,IN,24.7,78.12,1548535932,44.58,91,0,5.97
169,Coahuayana,MX,18.62,-100.35,1548535933,82.97,24,0,3.06
170,Alyangula,AU,-13.85,136.42,1548532800,80.6,83,75,4.7
171,Murray Bridge,AU,-35.12,139.28,1548535933,65.28,92,0,10.0
172,Tomatlan,MX,19.93,-105.25,1548535934,80.18,61,0,3.74
173,Alta Floresta,BR,-9.87,-56.08,1548532800,84.2,74,20,4.7
174,Micheweni,TZ,-4.97,39.83,1548535934,81.71,100,0,16.82
175,Oussouye,SN,12.49,-16.54,1548535934,77.7,70,0,14.7
176,Aripuana,BR,-9.17,-60.63,1548535934,86.48,68,48,1.16
177,Mansa,IN,23.43,72.66,1548534600,51.8,49,0,3.36
178,Samarai,PG,-10.62,150.67,1548535935,80.49,100,64,8.43
179,Mayo,CA,63.59,-135.9,1548532800,6.8,84,90,4.7
180,Lima,PE,-12.06,-77.04,1548532800,84.2,62,0,11.41
181,Sitka,US,37.17,-99.65,1548535936,48.59,49,36,12.01
182,Ust-Nera,RU,64.57,143.24,1548535936,-23.24,60,48,2.06
183,Coquimbo,CL,-29.95,-71.34,1548532800,69.8,64,20,12.75
184,Sola,NO,58.89,5.65,1548534000,30.2,68,75,26.4
185,Kaitangata,NZ,-46.28,169.85,1548535936,63.39,79,0,16.15
186,Camacha,PT,33.08,-16.33,1548532800,60.8,87,75,6.93
187,Iqaluit,CA,63.75,-68.52,1548532800,17.6,67,75,35.57
188,Coolum Beach,AU,-26.53,153.09,1548535937,76.13,89,12,5.08
189,Pailon,BO,-17.66,-62.72,1548532800,92.28,49,75,13.87
190,North Bend,US,43.41,-124.22,1548532560,53.96,69,1,3.06
191,Loiza,PR,18.43,-65.88,1548532560,80.83,64,40,18.34
192,Saskylakh,RU,71.97,114.09,1548535938,-19.59,56,64,6.08
193,Henties Bay,NA,-22.12,14.28,1548535938,61.82,100,0,2.95
194,San Quintin,PH,17.54,120.52,1548535938,65.42,73,8,6.08
195,Qasigiannguit,GL,68.82,-51.19,1548532200,28.4,58,40,16.11
196,Khromtau,KZ,50.26,58.44,1548535938,-5.87,56,20,7.76
197,Victoria,BN,5.28,115.24,1548532800,74.43,100,75,1.12
198,Minchinabad,PK,30.16,73.57,1548535938,43.82,85,0,2.73
199,New Norfolk,AU,-42.78,147.06,1548534600,62.6,55,75,5.82
200,Nanakuli,US,21.39,-158.15,1548533820,72.79,64,75,13.87
201,Ilulissat,GL,69.22,-51.1,1548532200,28.4,58,40,16.11
202,Cuernavaca,MX,18.92,-99.23,1548531960,71.65,12,40,18.34
203,Rawson,AR,-43.3,-65.11,1548535939,78.74,27,0,16.04
204,Rovaniemi,FI,66.5,25.72,1548534000,-7.61,83,0,16.11
205,Acapulco,MX,16.86,-99.88,1548531900,84.2,66,5,6.93
206,Souillac,FR,45.6,-0.6,1548532800,47.17,93,75,11.41
207,Axim,GH,4.87,-2.24,1548535940,84.0,95,0,13.13
208,Shar,NG,7.3,8.73,1548535990,82.16,62,68,9.44
209,Chuy,UY,-33.69,-53.46,1548535990,85.58,76,44,8.77
210,Yerbogachen,RU,61.28,108.01,1548535991,-0.06,73,56,7.54
211,Mogadouro,PT,41.34,-6.71,1548535740,33.11,86,0,4.41
212,Fukue,JP,35.03,136.69,1548534600,37.4,74,40,16.11
213,La Ronge,CA,55.1,-105.3,1548532800,-7.61,76,75,5.82
214,Husavik,CA,50.56,-96.99,1548535991,-19.64,84,0,7.99
215,Metro,ID,-5.11,105.31,1548535992,74.87,100,56,10.56
216,Bubaque,GW,11.28,-15.83,1548535992,84.41,78,0,13.8
217,Punta de Piedra,VE,7.62,-71.49,1548535992,82.79,55,20,3.06
218,Christchurch,NZ,-43.53,172.64,1548534600,86.0,37,0,5.82
219,Goure,NE,13.98,10.27,1548535992,69.47,22,0,11.12
220,Bumba,CD,2.18,22.47,1548535993,80.76,73,8,5.08
221,Ancud,CL,-41.87,-73.83,1548532800,62.6,51,0,9.17
222,Lake Elsinore,US,33.67,-117.33,1548534900,76.01,13,1,3.4
223,Swellendam,ZA,-34.02,20.44,1548532800,71.6,73,0,18.34
224,Jamestown,AU,-33.21,138.6,1548535994,59.16,89,88,6.76
225,Arica,CL,-18.48,-70.32,1548532800,77.0,65,0,10.29
226,Huarmey,PE,-10.07,-78.15,1548535994,78.69,56,32,4.52
227,Russell,AR,-33.01,-68.8,1548532800,91.4,49,20,6.93
228,Ngunguru,NZ,-35.62,174.5,1548535903,67.94,100,0,8.77
229,Tuatapere,NZ,-46.13,167.69,1548535995,62.31,82,0,8.21
230,Road Town,VG,18.42,-64.62,1548532800,81.41,54,20,13.87
231,Baykit,RU,61.68,96.39,1548535995,-9.51,64,36,3.74
232,East Stroudsburg,US,41.0,-75.18,1548535200,32.29,40,20,5.82
233,Xingyi,CN,24.19,102.82,1548535996,41.03,93,0,4.07
234,Makat,KZ,47.65,53.35,1548535996,30.36,96,80,14.03
235,Sangre Grande,TT,10.59,-61.13,1548532800,82.4,65,75,11.41
236,Te Anau,NZ,-45.41,167.72,1548535753,63.44,68,0,5.08
237,Ontario,US,34.07,-117.65,1548534900,76.39,10,1,9.17
238,Kavieng,PG,-2.57,150.8,1548535997,82.65,100,92,9.66
239,Talnakh,RU,69.49,88.39,1548535997,-15.77,69,48,7.99
240,Two Rivers,US,44.15,-87.57,1548532560,5.47,40,20,8.05
241,Cherskiy,RU,68.75,161.3,1548535997,-27.24,85,68,0.72
242,Gulariya,IN,28.2,81.35,1548535997,49.8,90,44,2.39
243,Ninghai,CN,29.29,121.42,1548532800,30.2,92,0,4.47
244,Nome,US,30.04,-94.42,1548533700,64.22,48,40,4.7
245,Margate,AU,-43.03,147.26,1548534600,62.6,55,75,5.82
246,Zapolyarnyy,RU,69.43,30.82,1548534000,-5.81,76,48,13.87
247,Airai,TL,-8.93,125.41,1548535998,71.36,90,68,1.72
248,Kokopo,PG,-4.34,152.27,1548535998,80.76,100,8,6.2
249,Priyutnoye,RU,46.1,43.51,1548535998,28.65,89,88,15.14
250,Manggar,ID,-2.88,108.27,1548535998,79.73,90,44,10.78
251,Itako,JP,35.95,140.57,1548534600,28.4,79,20,4.7
252,Saldanha,PT,41.42,-6.55,1548535999,33.11,86,0,4.41
253,Shimoda,JP,34.7,138.93,1548535999,44.54,100,0,16.49
254,Abdanan,IR,32.99,47.42,1548535999,43.14,82,80,1.95
255,Poum,MK,41.28,20.71,1548535999,15.33,85,8,1.72
256,Pierre,US,44.37,-100.35,1548533820,26.96,88,90,16.11
257,Hamilton,CA,43.26,-79.87,1548535740,15.12,66,75,8.05
258,Nanortalik,GL,60.14,-45.24,1548535911,31.8,98,92,15.48
259,Upernavik,GL,72.79,-56.15,1548536000,3.86,100,36,21.07
260,Lompoc,US,34.64,-120.46,1548533700,70.81,28,1,3.96
261,Qinzhou,CN,21.96,108.62,1548536000,52.19,99,0,2.73
262,Pacific Grove,US,36.62,-121.92,1548534600,61.84,42,1,8.05
263,Tessalit,ML,20.2,1.01,1548536050,50.57,38,0,6.53
264,Ayaviri,PE,-14.88,-70.59,1548536051,58.67,33,76,8.99
265,Sohag,EG,26.55,31.7,1548532800,64.4,31,0,4.7
266,Geraldton,CA,49.72,-86.95,1548532800,-13.01,57,90,4.7
267,Ugoofaaru,MV,5.67,73.0,1548536051,81.26,100,12,6.64
268,Sumbe,AO,-11.2,13.84,1548536051,77.43,100,12,9.66
269,Vila Franca do Campo,PT,37.72,-25.43,1548532800,57.2,71,40,6.93
270,Oranjemund,ZA,-28.55,16.43,1548536052,61.68,89,0,6.08
271,Mitsamiouli,KM,-11.38,43.28,1548536052,81.26,100,80,5.53
272,Ambovombe,MG,-25.18,46.09,1548536052,73.74,92,48,3.62
273,Qena,EG,26.16,32.72,1548532800,68.0,72,75,2.73
274,Kasongo-Lunda,CD,-6.48,16.82,1548536053,69.92,98,92,2.17
275,Kurilsk,RU,45.23,147.88,1548536053,24.24,100,36,16.71
276,Rome,IT,41.89,12.48,1548534000,40.21,52,0,8.05
277,Lata,IN,30.78,78.62,1548536054,19.07,85,12,2.62
278,Illela,NG,12.39,4.75,1548536054,71.18,30,0,8.1
279,Isla Mujeres,MX,21.23,-86.73,1548532140,71.6,94,90,4.7
280,Algodones,US,35.38,-106.48,1548534900,41.31,41,1,4.7
281,Port Hardy,CA,50.7,-127.42,1548532800,42.8,87,75,3.36
282,Tefe,BR,-3.35,-64.71,1548532800,86.0,70,20,3.36
283,Soe,EE,57.91,26.05,1548532200,12.2,78,76,2.24
284,Aranos,NA,-24.14,19.11,1548536055,87.06,13,92,5.64
285,Gualaceo,EC,-2.89,-78.78,1548532800,71.6,49,75,5.82
286,Solnechnyy,RU,50.72,136.64,1548536056,-9.02,66,36,3.18
287,Pevek,RU,69.7,170.27,1548536056,-7.35,100,88,10.67
288,Tabou,CI,4.42,-7.36,1548536057,84.18,95,0,10.56
289,Pisco,PE,-13.71,-76.2,1548532800,71.6,30,20,11.41
290,Los Llanos de Aridane,ES,28.66,-17.92,1548534600,64.4,77,75,5.82
291,San Patricio,PY,-26.98,-56.83,1548536057,94.22,61,0,2.51
292,Namatanai,PG,-3.66,152.44,1548536057,83.01,100,64,11.79
293,Codrington,AU,-28.95,153.24,1548532800,70.48,93,0,5.82
294,Nalut,LY,31.86,10.98,1548536057,40.89,68,0,6.53
295,Alofi,NU,-19.06,-169.92,1548532800,82.4,74,75,9.17
296,Sao Jose,AO,-12.77,15.77,1548536058,60.92,96,24,2.39
297,Sambava,MG,-14.27,50.17,1548536058,81.17,100,48,4.74
298,Cairns,AU,-16.92,145.77,1548535260,75.2,100,75,17.22
299,Boralday,KZ,43.36,76.86,1548534600,17.6,85,75,6.71
300,Vilyuysk,RU,63.75,121.63,1548536058,-30.8,51,24,2.73
301,Kakching,IN,24.5,93.98,1548536058,48.23,84,0,2.17
302,Pedasi,PA,7.53,-80.03,1548536058,78.15,92,0,6.2
303,Robertsganj,IN,24.69,83.07,1548536059,57.77,99,92,4.97
304,Ucluelet,CA,48.94,-125.55,1548532800,44.6,93,90,3.36
305,Haines Junction,CA,60.75,-137.51,1548536059,19.74,90,92,2.51
306,Macherla,IN,16.48,79.44,1548536059,68.57,99,92,2.95
307,Mount Gambier,AU,-37.83,140.78,1548532800,55.4,93,40,8.05
308,Yar-Sale,RU,66.83,70.83,1548536059,-18.96,84,68,9.55
309,Puteyets,RU,65.17,57.09,1548536059,-15.5,70,24,2.73
310,Barcelos,PT,41.53,-8.62,1548532800,50.0,93,20,6.93
311,Nogliki,RU,51.8,143.14,1548536060,5.93,100,0,14.81
312,Hirara,JP,24.8,125.28,1548536060,64.29,100,88,20.85
313,Whitianga,NZ,-36.83,175.7,1548536060,67.58,100,8,8.77
314,Jalu,LY,29.03,21.55,1548535832,47.24,32,0,11.01
315,Binzhou,CN,37.38,117.96,1548536060,17.4,60,0,7.09
316,Waingapu,ID,-9.65,120.26,1548536111,75.14,99,92,6.64
317,Sokol,RU,59.46,40.11,1548536111,9.71,82,80,19.28
318,Rio Verde de Mato Grosso,BR,-18.92,-54.84,1548536111,79.95,93,48,3.74
319,Pionerskiy,RU,61.2,62.86,1548536111,-5.46,85,44,4.52
320,Bonavista,CA,48.65,-53.11,1548536111,30.41,92,0,15.26
321,Mozarlandia,BR,-14.74,-50.57,1548536111,79.59,77,44,3.51
322,Magadan,RU,59.56,150.8,1548536112,-0.51,100,68,12.01
323,Gwadar,PK,25.12,62.33,1548536112,69.69,91,20,10.45
324,Guiyang,CN,26.58,106.71,1548532800,48.2,87,90,2.24
325,San Antonio,CL,-33.58,-71.61,1548532800,68.25,63,0,10.29
326,Cabo San Lucas,MX,22.89,-109.91,1548531900,75.45,56,75,9.17
327,Kipushi,CD,-11.76,27.24,1548536129,63.84,94,20,2.73
328,Prince Rupert,CA,54.32,-130.32,1548532800,46.4,87,90,19.46
329,Prata,BR,-19.31,-48.92,1548536130,76.49,83,56,8.21
330,Iquitos,PE,-3.75,-73.25,1548532800,78.8,83,75,6.93
331,Bucak,TR,37.46,30.59,1548534000,45.63,81,75,2.24
332,Humboldt,CA,52.21,-105.12,1548536130,2.87,89,92,7.09
333,Fairbanks,US,64.84,-147.72,1548532680,18.41,97,75,4.7
334,Kendari,ID,-3.99,122.52,1548536131,73.29,97,68,2.62
335,Portland,US,45.52,-122.67,1548530700,39.94,92,90,3.36
336,Vostok,RU,46.45,135.83,1548536074,-11.09,52,0,1.5
337,Bosaso,SO,11.28,49.18,1548536131,76.08,100,0,18.72
338,Grand Gaube,MU,-20.01,57.66,1548532800,80.6,83,20,3.36
339,Mineiros,BR,-17.57,-52.55,1548536131,70.82,97,80,3.74
340,Tazovskiy,RU,67.47,78.7,1548536132,-17.39,77,76,14.47
341,Kalmunai,LK,7.42,81.82,1548536132,75.99,92,100,3.18
342,Beidao,CN,34.57,105.89,1548536132,28.79,94,92,2.06
343,Beyneu,KZ,45.32,55.19,1548536132,24.11,86,0,9.22
344,Great Yarmouth,GB,52.61,1.73,1548532200,46.4,93,75,16.11
345,Zhezkazgan,KZ,47.8,67.71,1548536132,17.49,81,68,9.1
346,Dingle,PH,11.0,122.67,1548536132,72.53,77,32,18.61
347,Katastarion,GR,37.83,20.77,1548534000,51.1,76,75,6.93
348,Sayyan,YE,15.17,44.32,1548536133,42.33,81,0,3.4
349,Raudeberg,NO,61.99,5.14,1548534000,35.6,55,88,18.34
350,Batagay-Alyta,RU,67.8,130.41,1548536133,-37.86,70,32,2.73
351,San Juan,PR,18.47,-66.12,1548532560,80.85,64,40,18.34
352,La Paz,MX,24.15,-110.32,1548531600,71.6,33,75,12.75
353,Homer,US,59.64,-151.54,1548532380,36.59,72,1,6.93
354,Udachnyy,RU,66.42,112.4,1548536135,-34.94,62,36,2.39
355,Nizwa,OM,22.93,57.53,1548536135,54.44,63,32,2.39
356,Kokkola,FI,63.84,23.13,1548534000,-2.21,84,0,5.82
357,Chegdomyn,RU,51.13,133.04,1548536135,-19.23,52,20,1.72
358,Shira,RU,54.49,89.96,1548536135,12.23,58,0,17.05
359,Nagato,JP,34.35,131.14,1548532800,41.0,60,75,8.05
360,Ginir,ET,7.14,40.71,1548536136,54.26,74,0,2.62
361,Itaituba,BR,-4.26,-55.99,1548532800,89.6,62,20,11.41
362,Fortuna,ES,38.18,-1.13,1548534600,50.0,93,0,4.7
363,Anklam,DE,53.86,13.69,1548536136,33.83,100,92,10.22
364,Viedma,AR,-40.81,-62.99,1548536136,78.24,35,0,11.68
365,Shelburne,CA,44.08,-80.2,1548532800,14.99,47,20,5.82
366,Wilmington,US,39.75,-75.55,1548534900,34.54,40,40,5.97
367,Maxixe,MZ,-23.86,35.35,1548536137,76.8,91,12,18.05
368,Lesnoy,RU,59.78,52.13,1548536137,-16.8,74,20,2.95
369,Buraydah,SA,26.33,43.97,1548532800,69.8,56,75,8.05
370,Praya,ID,-8.71,116.27,1548534600,77.0,94,24,3.36
371,Zhirnovsk,RU,50.98,44.78,1548536171,1.97,88,76,14.25
372,Mehamn,NO,71.03,27.85,1548536171,0.57,100,0,7.76
